"pair_id","same_story","title_a","text_a","title_b","text_b","notes"
"p001","y","Ukraine backers gather as war escalates, air defence runs low","Ukraine backers gather as war escalates, air defence runs low KYIV: Ukraine on Monday hosts a meeting of its key European backers to press for critical air-defence supplies and more pressure on Moscow, with Russian attacks killing more civilians than at any time since the first months of the invasion. The meeting of the Coalition of the Willing will be jointly chaired by the leaders of Britain, France and Germany. UK Prime Minister Andy Burnham will be in","Live: Ukraine backers gather as Russian attacks escalate, air defence runs low","Ukraine backers gather as Russian attacks escalate, air defence runs low Ukraine on Monday hosts a meeting of its key European backers to press for air-defence supplies and more pressure on Moscow, with Russian attacks killing more civilians than at any time since the first months of the invasion. The meeting of the Coalition of the Willing will be jointly chaired by the leaders of Britain, France and Germany. Follow our liveblog for the latest updates.",""
"p002","y","Two MLAs, including Karnataka's Abhay Patil, among six injured in Delhi road accident","Two MLAs, including Karnataka's Abhay Patil, among six injured in Delhi road accident New Delhi: Two MLAs, including Anil Jha, the sitting MLA from Kirari, were among six people who sustained minor injuries after two cars collided near the PWD office in central Delhi on Sunday night, police said. The accident occurred around 9.30 pm when a car travelling from Laxmi Nagar towards ITO hit a divider, crossed the railing, and collided with an Innova car coming from the opposite","Two MLAs among six injured in road accident","Two MLAs among six injured in road accident NEW DELHI: Two MLAs, including Kirari legislator Anil Jha, were among six people who sustained minor injuries after two cars collided near the PWD office in central Delhi on Saturday night, police said. The accident took place around 9.30 pm when a car travelling from Laxmi Nagar towards ITO hit a divider, crossed the railing, and collided with an Innova car coming from the opposite direction,","same route/MLA/vehicle/time; day-of-week discrepancy looks like a copy error"
"p003","y","FDA suspends licences of five food outlets on Mumbai Cricket Association premises","FDA suspends licences of five food outlets on Mumbai Cricket Association premises Mumbai: The Maharashtra Food and Drug Administration (FDA) has suspended the food licences of five outlets at the Mumbai Cricket Association (MCA) premises over the alleged violation of food safety norms, flagging deficiencies in food handling, storage, refrigeration and sanitation. As part of its statewide drive, the FDA has suspended licences of 11 food establishments, including the five","Maharashtra FDA suspends licences of five food outlets on Mumbai Cricket Association premises","Maharashtra FDA suspends licences of five food outlets on Mumbai Cricket Association premises The Maharashtra Food and Drug Administration (FDA) has suspended the food licences of five outlets operating at the Mumbai Cricket Association (MCA) premises, citing alleged breaches of food safety norms, including lapses in food handling, storage, refrigeration and sanitation. As part of its statewide drive, the FDA has suspended licences of 11 food establishments, including the five outlets at",""
"p004","n","Gold Rate Today, August 19: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities","Gold Rate Today, August 19: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities 3 min readUpdated: Aug 19, 2026 10:45 AM IST The gold price in India today stands at Rs ₹15,497 per gram for 24 carat gold, Rs ₹14,205 per gram for 22 carat gold and ₹11,623 per gram for 18 carat gold, as per Good Returns. Gold Rate Today: The gold price in India today stands at Rs ₹15,497 per gram for 24 carat gold, Rs ₹14,205 per gram for 22 carat gold and ₹11,623 per gram for 18 carat gold, as","Gold Rate Today, August 18: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities","Gold Rate Today, August 18: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities 3 min readAug 18, 2026 10:28 AM IST The gold price in India today stands at Rs ₹15,589 per gram for 24 carat gold, Rs ₹14,290 per gram for 22 carat gold and ₹11,692 per gram for 18 carat gold, as per Good Returns. Gold Rate Today: The gold price in India today stands at Rs ₹15,589 per gram for 24 carat gold, Rs ₹14,290 per gram for 22 carat gold and ₹11,692 per gram for 18 carat gold, as per Good","daily gold-rate template, different day (Aug 19 vs 18)"
"p005","y","Watch: Protesters celebrate resignation of India's education minister","The youth-led Cockroach Janta Party (CJP) has called off its protest, hours after the resignation of India's education minister","Protesters celebrate India's education minister exit","Protesters celebrate India's education minister exit The youth-led Cockroach Janta Party (CJP) has called off its protest, hours after the resignation of India's education minister",""
"p006","n","The mindblowing invertebrates you have never heard of – video","The mindblowing invertebrates you have never heard of - video Each year the Guardian runs a competition to find the invertebrate of the year. To find out more about the 2026 nominees, science editor Ian Sample hears from climate reporter Petra Stock, environment reporter Oliver Milman and Science Weekly co-host Madeleine Finlay. They each nominate an incredible invertebrate that you might never have heard of, and argue why their choice should come top. Vote","The immortal jellyfish and other mindblowing invertebrates – podcast","The immortal jellyfish and other mindblowing invertebrates - podcast Each year the Guardian runs a competition to find the invertebrate of the year. To find out more about the 2026 nominees science editor Ian Sample hears from climate reporter Petra Stock, environment reporter Oliver Milman and Science Weekly co-host Madeleine Finlay. They each nominate an incredible invertebrate that you might never have heard of, and argue why their choice should be crowned the","video vs podcast built from same feature (rule 5)"
"p007","y","Ukraine: UK PM Andy Burnham to visit Kyiv in show of support","UK PM Andy Burnham to visit Kyiv in show of support Andy Burnham's first trip abroad as PM will see him co-chair a meeting of Ukraine's main backers and meet with Volodymyr Zelenskyy. The visit comes as Ukraine marks its 35th independence day. DW has more.","Ukraine news: UK PM Burnham to visit Kyiv in show of support","Ukraine news: UK PM Burnham to visit Kyiv in show of support Andy Burnham's first trip abroad as PM will see him co-chair a meeting of the Coalition of the Willing and meet with Volodymyr Zelenskyy. The visit comes as Ukraine marks its 35th independence day. DW has more.",""
"p008","y","UP Assembly Speaker Satish Mahana draws ire for leaving dais during national anthem at Unnao event","UP Assembly Speaker Satish Mahana draws ire for leaving dais during national anthem at Unnao event Unnao (UP): Uttar Pradesh Assembly Speaker Satish Mahana has found himself at the centre of a controversy after he was seen walking away while the national anthem was being played at an event here, drawing flak from the opposition. Mahana, however, claimed that the anthem was not played where he was given the guard of honour. 1984 Delhi murder case: 65-year-old man arrested in Uttar Pradesh after","UP Assembly Speaker draws ire for leaving dais during national anthem at Unnao event","UP Assembly Speaker draws ire for leaving dais during national anthem at Unnao event Uttar Pradesh Assembly Speaker Satish Mahana has found himself at the centre of a controversy after he was seen walking away while the national anthem was played at an event here, drawing flak from the opposition. Mahana, however, claimed that the anthem was not played where he was given the guard of honour. A purported video of the incident shows the speaker staying still for a few seconds, then",""
"p009","y","CM Vijay announces free LPG cylinders, expands women’s free bus travel; Parandur airport project dropped","CM Vijay announces free LPG cylinders, expands women's free bus travel; Parandur airport project dropped CHENNAI: Tamil Nadu Chief Minister C. Joseph Vijay on Monday announced that three LPG cylinders would be provided free of cost every year to 1.34 crore families in the State. He also announced the expansion of the free bus travel scheme for women, which is currently limited to ordinary buses. Under the new ""Vettri Payanam Thittam"", women will be allowed to travel free of cost on mofussil buses","Free LPGs, expanded free travel for women, transgender persons; Parandur Airport scrapped: TN Vijay","Free LPGs, expanded free travel for women, transgender persons; Parandur Airport scrapped: TN Vijay Tamil Nadu Chief Minister C. Joseph Vijay announced that three LPG cylinders would be provided free of cost every year to 1.34 crore families in the State. He also announced the expansion of the free bus travel scheme for women and transgender persons, which is currently limited to ordinary buses. Under the new 'Vettri Payanam Thittam', they will be allowed to travel free of cost on mofussil",""
"p010","y","Cricket captains from around the world renew appeal for medical treatment of Imran Khan","Cricket captains from around the world renew appeal for medical treatment of Imran Khan ISLAMABAD: Famous cricketers from around the world have renewed their appeal for the medical treatment of former star player turned politician Imran Khan in a letter to Pakistan Prime Minister Shehbaz Sharif. A group of 22 former international cricket captains, including Sunil Gavaskar and Kapil Dev of India and Australian greats Greg Chappell and Ian Chappell, signed a second such letter to the","22 former international cricket captains, including Gavaskar, Kapil Dev, renew appeal for Imran Khan's treatment","22 former international cricket captains, including Gavaskar, Kapil Dev, renew appeal for Imran Khan's treatment ISLAMABAD: Famous cricketers from around the world have renewed their appeal for the medical treatment of former star player turned politician Imran Khan in a letter to Pakistan Prime Minister Shehbaz Sharif. A group of 22 former international cricket captains, including Sunil Gavaskar and Kapil Dev of India and Australian greats Greg Chappell and Ian Chappell, signed a second such letter to the",""
